uuid,events
47be115d-dde5-4cd3-b6cf-191a18008cd1,"[""score"", ""sending-off"", ""caution"", ""foul"", ""score""]"
700797c8-398c-4510-ba32-20da1516dfc8,"[""score"", ""sending-off"", ""caution"", ""sending-off"", ""substitution""]"
d7f234bd-2603-41cd-b4b9-9e8182b3255d,"[""caution"", ""caution"", ""sending-off"", ""foul"", ""caution""]"
97f6819c-5dfd-4934-be49-478ec888a941,"[""substitution"", ""score"", ""sending-off"", ""substitution""]"
f96c58f0-a84a-429b-b4ab-fe48a9a74da7,"[""caution"", ""substitution"", ""foul"", ""foul"", ""sending-off"", ""substitution""]"
35e30bef-aac3-4836-a14d-acadc13a06d1,"[""foul"", ""score"", ""caution"", ""score"", ""foul""]"
fc9687f7-4535-4705-ae51-7bc09541cc4e,"[""foul"", ""sending-off"", ""score"", ""substitution"", ""caution"", ""sending-off""]"
76142ba1-12f8-4891-869f-b91aae96a1d0,"[""caution"", ""score"", ""foul""]"
b3efa5ec-88a5-40c9-868a-731a4d3f0535,"[""score"", ""caution"", ""substitution"", ""caution"", ""score""]"
7b922ce7-e0ec-4796-ae84-d3ee3520c740,"[""caution"", ""sending-off"", ""score"", ""sending-off"", ""foul"", ""score""]"
a06f95f2-6e34-459c-abc8-e4090c91e66c,"[""caution"", ""caution"", ""score"", ""score""]"
f3b6c495-46f1-40a5-a5c1-da18e143d37c,"[""caution"", ""foul"", ""score""]"
ef4cb6c9-5b51-4b8c-a3e7-fdacb08118ea,"[""score"", ""substitution"", ""substitution"", ""substitution"", ""substitution""]"
c6996ce0-e793-4fda-9f9a-2a93d6b65ffc,"[""caution"", ""caution"", ""caution"", ""foul""]"
189ff728-9985-45e0-901a-fcb94c775916,"[""substitution"", ""score"", ""sending-off""]"
5bb52761-bb9b-4edf-8dd8-ac2509f0ed93,"[""score"", ""substitution"", ""foul""]"
04f09197-8909-4858-a5ba-d5664df71716,"[""sending-off"", ""substitution"", ""foul""]"
0d56554b-4be1-4456-b98f-1ebb8d87b870,"[""substitution"", ""substitution"", ""foul"", ""foul""]"
46820ae9-3038-4561-806b-4be489c8801f,"[""foul"", ""caution"", ""score"", ""caution"", ""score""]"
1e3833bb-a92c-4bcf-8589-b4db6c0422e9,"[""caution"", ""substitution"", ""foul""]"
fff937be-7c9b-419d-8814-997e8c47ce5d,"[""caution"", ""substitution"", ""score"", ""substitution"", ""foul""]"
01dde331-96f7-4296-a090-fcdc788b1a49,"[""caution"", ""score"", ""score""]"
89f8eab8-4cd7-4f47-b153-6195cde4dfe4,"[""sending-off"", ""caution"", ""foul"", ""caution""]"
e412a60d-8de1-492b-8617-cac58b3e65dd,"[""caution"", ""score"", ""substitution""]"
