uuid,events
e97d46bc-7cd7-494d-a1aa-a0f95e10a67c,"[""foul"", ""caution"", ""substitution""]"
96ad658a-782a-4c54-9e4c-21764219caf2,"[""substitution"", ""foul"", ""score"", ""foul""]"
5c279796-27d6-4365-b40c-cf4b5fa1e594,"[""foul"", ""foul"", ""foul"", ""substitution"", ""substitution"", ""score""]"
21031cee-1cd7-4fb1-acb3-fc14af4d71bb,"[""score"", ""substitution"", ""score""]"
0048788f-9732-42e9-837c-7ec8310c8b01,"[""substitution"", ""sending-off"", ""score"", ""caution"", ""foul"", ""substitution""]"
6e438913-afde-4c1c-8134-7828f283eb51,"[""caution"", ""caution"", ""substitution"", ""substitution"", ""caution"", ""foul""]"
0366ecdf-bbbd-4150-9fd0-1e497d26f1e9,"[""sending-off"", ""foul"", ""caution""]"
a92dad68-9f4d-4bcf-878e-48a997424675,"[""score"", ""caution"", ""foul"", ""sending-off"", ""score""]"
d977d6fc-457b-46fe-8e19-d6b892ae3a3f,"[""sending-off"", ""foul"", ""score""]"
6f57e085-e6ce-41e9-a013-7a5fd1a63940,"[""score"", ""caution"", ""score"", ""substitution"", ""foul""]"
e4e67ce1-eb8e-4cf2-9523-e029df2b887b,"[""substitution"", ""caution"", ""foul""]"
aa5398ac-8c1f-48e5-8067-fafc1ecd63e2,"[""foul"", ""sending-off"", ""caution"", ""sending-off""]"
a65f3f67-6e4f-4067-9b29-81114e432ca3,"[""substitution"", ""caution"", ""caution"", ""substitution"", ""caution""]"
ffa5ec72-6882-492b-961f-6316a015ea10,"[""score"", ""substitution"", ""score""]"
84ce3210-f3cc-4f70-9c44-a7c958e4bbdf,"[""substitution"", ""sending-off"", ""sending-off"", ""caution""]"
2b895074-0265-4938-9857-24bf63c35fb9,"[""caution"", ""foul"", ""substitution"", ""foul""]"
8571bfd1-2b70-4489-92df-52e9344d7e9c,"[""sending-off"", ""caution"", ""foul"", ""substitution"", ""score""]"
643e4352-0127-472a-b514-1a086f0e7f32,"[""substitution"", ""sending-off"", ""sending-off"", ""sending-off"", ""substitution""]"
63d5b766-3296-40e9-840f-dac096026df8,"[""substitution"", ""substitution"", ""score"", ""score"", ""caution""]"
2fa2eeab-20ed-4ff4-8ce7-53228d317980,"[""score"", ""sending-off"", ""caution"", ""substitution"", ""substitution"", ""score""]"
cdf9937e-adf0-4ef3-bf35-2fc250ea9824,"[""foul"", ""foul"", ""foul"", ""substitution"", ""substitution"", ""sending-off""]"
7d4356a8-0bf6-49ad-bed3-9a5720611110,"[""sending-off"", ""sending-off"", ""score""]"
18349579-97da-4660-8d98-a107cf742dd3,"[""score"", ""caution"", ""score"", ""foul"", ""foul"", ""score""]"
cd88d0e4-47e8-4bbe-8aa4-261e18bf894e,"[""caution"", ""foul"", ""caution"", ""sending-off"", ""substitution""]"
73159746-bd72-47f1-834e-612cd80e7af8,"[""foul"", ""caution"", ""score"", ""substitution"", ""score"", ""foul""]"
8138c1b2-2127-46fb-836a-530663137d17,"[""score"", ""score"", ""substitution"", ""substitution"", ""caution""]"
33e7631c-c88b-4130-8095-9dfa970b8722,"[""score"", ""score"", ""foul"", ""score""]"
b7db3471-b22a-4e53-a791-8ac5b60143ed,"[""sending-off"", ""foul"", ""foul"", ""caution"", ""caution""]"
f42c4b66-bda9-4c9d-b7e0-8c598cb45ef7,"[""foul"", ""substitution"", ""score"", ""foul""]"
7008b28e-5b02-4015-b1d9-72edcf000fdc,"[""sending-off"", ""foul"", ""score""]"
cb87c702-5cff-4c2d-af8c-b581948a1bcb,"[""substitution"", ""sending-off"", ""score"", ""substitution""]"
c98a0b07-57cf-404f-8e35-e92314041cbc,"[""score"", ""score"", ""sending-off"", ""substitution"", ""score""]"
f7a9e474-614d-430c-862a-2f7f78170141,"[""caution"", ""sending-off"", ""caution"", ""sending-off""]"
35062183-36d1-449e-94d3-83e594eacee8,"[""foul"", ""substitution"", ""substitution"", ""foul"", ""caution"", ""foul""]"
343bc4a1-0fc5-4c2a-9f78-1d2023344530,"[""score"", ""substitution"", ""foul"", ""foul""]"
8e21b72b-d02c-41b8-ad25-e1b0d398afbf,"[""substitution"", ""foul"", ""foul""]"
c0079d9d-ac77-46f9-b030-f012d52b7b32,"[""foul"", ""score"", ""substitution"", ""caution"", ""sending-off""]"
ebd55137-3a02-48cc-8746-2dc4cd3445a0,"[""score"", ""substitution"", ""score"", ""score""]"
d778c759-3c5a-49c0-9d83-1f2d1f0f12b0,"[""substitution"", ""sending-off"", ""sending-off"", ""substitution"", ""foul"", ""foul""]"
2f9cb5aa-cca2-4cf4-8497-d1d07f54c29a,"[""caution"", ""sending-off"", ""sending-off"", ""sending-off"", ""foul"", ""foul""]"
9b559102-3f53-4759-80e9-efe0f6313eef,"[""sending-off"", ""caution"", ""foul""]"
04adbf9e-6cf4-494d-af57-d77f4849e192,"[""substitution"", ""substitution"", ""score"", ""sending-off""]"
6c58c1a1-f972-426e-9edd-817380199190,"[""sending-off"", ""substitution"", ""caution"", ""sending-off""]"
34b1b777-8a1e-4e99-83d8-3509495c5b39,"[""foul"", ""sending-off"", ""score"", ""foul""]"
7fc83d36-bfcc-4466-94d0-e98f2166f9c0,"[""score"", ""foul"", ""foul""]"
37505d83-c7d6-4639-adca-7bc088d50206,"[""substitution"", ""sending-off"", ""sending-off"", ""sending-off""]"
35427188-1e74-4d01-afa4-84e8894efd77,"[""sending-off"", ""foul"", ""substitution"", ""sending-off""]"
5ce0b035-ee7b-43e8-b025-fff154123a65,"[""sending-off"", ""caution"", ""sending-off""]"
9ff63984-f33a-4979-b657-fb7fc9cff9be,"[""sending-off"", ""score"", ""sending-off"", ""substitution"", ""substitution""]"
76113af2-83c0-4523-9399-f222aeee943f,"[""substitution"", ""foul"", ""score"", ""score"", ""foul""]"
69589205-db93-4191-a08b-99b8604fe634,"[""foul"", ""foul"", ""score"", ""sending-off"", ""score""]"
1347989c-5bbc-4f14-9ea4-c160fd22278b,"[""foul"", ""score"", ""foul"", ""substitution""]"
37385d3b-c0ec-44c5-b62e-273f8ee6398b,"[""score"", ""foul"", ""substitution""]"
bafae9fa-1f45-47a4-86f9-33658e6b7fad,"[""foul"", ""score"", ""substitution"", ""score"", ""score"", ""foul""]"
51e1fad8-b2bd-47d2-adff-00a7e487be11,"[""sending-off"", ""score"", ""score""]"
5c3259fe-2f20-4830-93f4-1fc50be8a51b,"[""caution"", ""substitution"", ""caution"", ""substitution"", ""caution""]"
8cdfb404-04a5-4666-90c9-03b664c500f1,"[""substitution"", ""caution"", ""sending-off"", ""caution"", ""foul"", ""foul""]"
18332d6e-cefe-43d4-8181-340a37336a0b,"[""score"", ""score"", ""foul"", ""foul"", ""score"", ""substitution""]"
15f6dc4a-f452-48e1-b6b1-0c6f0796d4e0,"[""substitution"", ""caution"", ""foul"", ""substitution"", ""caution""]"
37f053b8-a4ec-49d9-a962-e4174fc101b4,"[""substitution"", ""sending-off"", ""score"", ""caution"", ""score""]"
179bf3bc-7ff8-47c3-8a1a-e89bb6d06f61,"[""score"", ""caution"", ""foul""]"
e8a8c663-569d-4fb9-be2f-d093ca9d2968,"[""caution"", ""foul"", ""foul"", ""score""]"
b4c41249-e760-4ac3-885d-ac60ad20a124,"[""caution"", ""caution"", ""score"", ""substitution""]"
8fa635a0-acd2-42d7-90d0-c4e8097a769d,"[""substitution"", ""caution"", ""score"", ""sending-off"", ""caution""]"
9b91fcbe-8757-4725-ad7b-7a575fddcbbb,"[""foul"", ""sending-off"", ""caution""]"
e3148b58-211e-459a-a9c1-331fba588ec5,"[""foul"", ""caution"", ""substitution""]"
90ccf50e-735b-4dda-acae-df19e403a805,"[""substitution"", ""sending-off"", ""score"", ""sending-off"", ""score""]"
9096f575-8337-4a84-af62-9cce1cfb6449,"[""foul"", ""foul"", ""substitution""]"
38d59c03-8f16-459e-92bb-e1e9dda6f95f,"[""caution"", ""score"", ""score""]"
c67955a0-c03e-46a7-a4d8-0f07324d1625,"[""sending-off"", ""substitution"", ""foul"", ""caution""]"
80287853-7798-45d9-aa6a-0f73954c2464,"[""foul"", ""caution"", ""substitution"", ""substitution"", ""foul""]"
9d285bf3-e403-46d6-8980-64f35472e93b,"[""score"", ""sending-off"", ""score"", ""substitution"", ""substitution""]"
7a36e00a-969e-4173-8045-bb084b86dda7,"[""substitution"", ""sending-off"", ""foul"", ""substitution""]"
8fe8fb91-bc69-4f77-a222-a6d4af253deb,"[""sending-off"", ""substitution"", ""caution"", ""substitution"", ""foul""]"
d157d18a-5e80-4cff-a400-8fc57d74963a,"[""foul"", ""sending-off"", ""substitution"", ""substitution"", ""sending-off"", ""caution""]"
961a53c1-161e-40db-9b9e-38d6bc358ba1,"[""substitution"", ""substitution"", ""foul"", ""substitution"", ""sending-off""]"
19f30dd5-6863-444f-8fb7-796a9c32d4c9,"[""caution"", ""foul"", ""caution"", ""caution"", ""score""]"
80765547-8b23-4628-b230-d0e483ebc6ba,"[""score"", ""caution"", ""foul"", ""foul"", ""caution"", ""substitution""]"
d84216c5-8ce5-42bb-ab18-9d591de3cc46,"[""foul"", ""foul"", ""score"", ""sending-off"", ""caution""]"
e1055109-5a17-4b46-8254-5ee029a871d4,"[""sending-off"", ""score"", ""score"", ""foul"", ""sending-off""]"
997f6a89-788b-41f9-ae16-e8c0ac966b6f,"[""caution"", ""foul"", ""sending-off"", ""foul""]"
18ff06ee-74b0-4d68-82b5-d6a1553641d1,"[""caution"", ""sending-off"", ""foul"", ""caution""]"
8496f7bc-fa5b-4c99-a2c8-0e845d5516f3,"[""foul"", ""caution"", ""score"", ""caution"", ""sending-off""]"
42848efe-6198-4b51-aa38-1f90236d2ec2,"[""sending-off"", ""caution"", ""score"", ""substitution"", ""substitution""]"
4e68179d-aef8-4492-a8f9-5ecde57e3d03,"[""sending-off"", ""substitution"", ""score"", ""score"", ""caution"", ""sending-off""]"
82816d18-1768-46ee-91fd-25e7e3e75adf,"[""caution"", ""caution"", ""substitution""]"
91de3deb-9ce4-49b7-94bf-6c5b0076ab83,"[""score"", ""score"", ""caution"", ""sending-off"", ""sending-off"", ""sending-off""]"
44eda152-a5e3-4e92-9f88-6ba4ba91574e,"[""score"", ""sending-off"", ""substitution"", ""foul""]"
674a60b0-8d3b-4d83-8494-dd17b62ed440,"[""score"", ""score"", ""caution"", ""foul"", ""substitution""]"
18ad0e16-d842-4aaf-9e41-8354324ecc91,"[""substitution"", ""substitution"", ""substitution"", ""foul"", ""foul""]"
482763da-e737-4f1f-b398-c0a42bc97510,"[""sending-off"", ""score"", ""foul"", ""sending-off""]"
