uuid,tweet
47be115d-dde5-4cd3-b6cf-191a18008cd1,@Aiiane @aquarianfool it's important to let people react to abuse. we can't police the feelings they have.
700797c8-398c-4510-ba32-20da1516dfc8,I still remembered how much i bullied him. Nyehehe
d7f234bd-2603-41cd-b4b9-9e8182b3255d,"@azmoderate @JoeWSJ Again, you talk like an idiot.  I have no religion and what you say changes nothing about Muslims being extremists."
97f6819c-5dfd-4934-be49-478ec888a941,"Losing lives is much more important. Maybe was not included in cognitive test. DO UR JOB and make school safer, where are the plans the guidance the recommendation. Or bully into opening is the only thing left ur rank. Like u forced Florida, Texas, and other states to open fast"
f96c58f0-a84a-429b-b4ab-fe48a9a74da7,"I taught anti-bullying units to my 7th graders for the 1st two weeks of school each fall. Victims became “analyzers” of the bullies who decided to just shut up or be outed as the abused, neglected, or prejudiced persons that they were. Mary Trump’s book could help heal victims."
35e30bef-aac3-4836-a14d-acadc13a06d1,oh I had a few bullies •Christopher (my mother’s VERY abusive ex). you weren’t even my bio dad you trash heap get on outta here stop hitting me &gt;:( •Alias. You bit my Nan wtf dude •Daniel. You were just plain nasty &gt;:( •all of Springfield elementary school coz I’m autistic
fc9687f7-4535-4705-ae51-7bc09541cc4e,Before you all attack her for her looks. There is an Extremely High chance that this girl is being cyber bullied and her account was hacked. She went from 1 post a month and little to no activity since 2014 with no racists posts. To 10 racists post/hr all in 24 hrs
76142ba1-12f8-4891-869f-b91aae96a1d0,Schools. Sad when the one being bullied is always the one getting in trouble. Schools stick up for the bullies and the victim is left feeling much worse... I’ll die defending my boy!
b3efa5ec-88a5-40c9-868a-731a4d3f0535,"Aww cry me a river :/ ..Then drown in it. RT@tayyoung_ FUCK OBAMA, dumb ass nigger"
7b922ce7-e0ec-4796-ae84-d3ee3520c740,Are we role playing as the girls who bullied us in high school
a06f95f2-6e34-459c-abc8-e4090c91e66c,"@PARISDENNARD how can you sit there and let thump make a fool of you, you know how hard he's laughing when he see your dumb ass protecting him he be like look at my nigger behind closed doors smh Wake the fuck up !"
f3b6c495-46f1-40a5-a5c1-da18e143d37c,Offal and marrow?
ef4cb6c9-5b51-4b8c-a3e7-fdacb08118ea,"@Popehat good call. i might cockpunch them over the internet, as i'm known to do."
c6996ce0-e793-4fda-9f9a-2a93d6b65ffc,Dumb ugly fuck name wayne ugly nigger off my phone off my mother fucking pussy off my complexion pic.twitter.com/VUcRbdR4iu
189ff728-9985-45e0-901a-fcb94c775916,"How stupid do you think of me as a racist? while Muslims in my place are the same race as me? we just have different religions, not races!! IDIOT !!!"
5bb52761-bb9b-4edf-8dd8-ac2509f0ed93,5/14/15
04f09197-8909-4858-a5ba-d5664df71716,RT @LiarMPs: Labour councillors in Rotherham left vulnerable girls in the hands of KNOWN paedos and doing nothing for fear of being racist!…
0d56554b-4be1-4456-b98f-1ebb8d87b870,"I went to public school too, only had one girl ever try to bully me about it, and I fixed that problem at a party 2 days later"
46820ae9-3038-4561-806b-4be489c8801f,Drive my heart into the night - you can drop the keys off in the morning 🎶🎵🎼 #kylagray #teamkyla #asian #lace http://t.co/xYmshvZBko
1e3833bb-a92c-4bcf-8589-b4db6c0422e9,"Pete and Manu, you're back! We've missed you! #mkr"
fff937be-7c9b-419d-8814-997e8c47ce5d,@DavidHarvilicz @AFP More left wing scum caving in to the violence of Islam.
01dde331-96f7-4296-a090-fcdc788b1a49,"Why she look like a chocolate chip cookie? RT @Lotta910: Dese crackers can't hold him back!!!! “@tayyoung_: FUCK OBAMA, dumb ass nigger”"
89f8eab8-4cd7-4f47-b153-6195cde4dfe4,The fucking quality of this stream tho! https://t.co/M5n3rAkeNQ
e412a60d-8de1-492b-8617-cac58b3e65dd,"@BlackOpal80 Yeah. My eye opener was a pay gap article. I know a little about econ...tried to explain why it was math, not sexism.  But..."
bfdc580a-4d31-48f5-9e9a-97d1a7adf574,@agent_of_change lmfao you’re so stupid. No colonialism? #HongKong #Tibet #Philippines No genocide? Like their Muslim population right now? No slavery? Right they want to work for $.20/day. You really are an idiot. Darwin Awards here you come.
049368c3-d2e4-4f69-afde-c4e69f4ec258,He looks like the bully in a movie about a British boarding school
fa68871e-99ca-4c94-9bb8-f1adb8687dfa,"@NNdabbour64 Yes, people can believe what they want. But Islam doesn't give them that choice."
ef4d4576-c6cc-4b9c-a32a-cd5b5eaad74c,"A religion isn't a race, you absolute idiot. If you were a bit more of a serious person, I'd pull out the criminal stats from all over Europe that I have gathered over the years, showing the propensity to violent crime of muslims. But since you're just trolling, why bother lol."
fe39eaaf-9ef9-49a6-ad45-90c7a36ec5a0,by racism i mean the divide bc WHITE skinned mfs and COLORED (negro) mfs. all in between is just more deception. you either negro or u not around this world.
f68b07ca-07bb-4701-bdb4-16645208652d,when i go back to my ghetto ass school i gotta change my aesthetic because they gon bully me for being a soft girl
